,date,weather_code,temp_max,temp_min,humidity_max,rain_sum,wind_speed_max,radiation_sum,evapotranspiration
0,2025-11-22,61,7.9,1.1,93.0,10.4,19.6,0.96,0.43
1,2025-11-23,61,10.1,5.3,100.0,9.7,22.5,4.29,0.72
2,2025-11-24,51,6.9,4.2,92.0,1.6,17.3,1.98,0.35
3,2025-11-25,3,6.7,3.5,88.0,0.0,16.6,3.31,0.56
4,2025-11-26,51,8.8,0.0,95.0,0.9,17.3,4.93,0.48
5,2025-11-27,51,13.3,9.2,97.0,1.1,19.2,1.67,0.35
6,2025-11-28,3,12.9,8.7,92.0,0.0,18.6,3.95,0.67
7,2022-01-01,51,14.9,11.7,93.0,0.2,25.3,2.76,0.77
8,2022-01-02,51,12.6,8.7,94.0,2.0,29.5,3.2,0.69
9,2022-01-03,3,10.2,7.0,95.0,0.0,24.4,2.43,0.57
10,2022-01-04,51,8.0,1.2,97.0,2.5,21.0,0.66,0.29
11,2022-01-05,3,5.7,-2.1,95.0,0.0,21.3,4.27,0.63
12,2022-01-06,51,6.8,-3.8,99.0,2.2,30.9,2.24,0.42
13,2022-01-07,51,6.2,1.0,93.0,0.3,28.8,3.38,0.51
14,2022-01-08,61,9.6,0.7,93.0,7.9,27.4,0.57,0.41
15,2022-01-09,3,7.4,-0.5,100.0,0.0,21.2,4.32,0.51
16,2022-01-10,51,8.3,0.1,100.0,0.7,13.3,1.2,0.25
17,2022-01-11,51,9.5,7.6,100.0,2.4,15.6,0.76,0.18
18,2022-01-12,3,6.7,1.1,100.0,0.0,8.0,3.97,0.32
19,2022-01-13,3,5.6,-0.6,100.0,0.0,10.7,3.97,0.35
20,2022-01-14,3,3.8,-1.5,100.0,0.0,10.2,4.3,0.35
21,2022-01-15,3,5.5,-1.6,100.0,0.0,12.9,3.28,0.31
22,2022-01-16,3,7.8,0.3,100.0,0.0,11.3,4.08,0.34
23,2022-01-17,3,7.3,-0.9,100.0,0.0,9.8,5.01,0.44
24,2022-01-18,3,6.6,-1.4,100.0,0.0,10.7,2.3,0.25
25,2022-01-19,3,9.0,1.9,95.0,0.0,18.5,2.53,0.35
26,2022-01-20,3,5.2,-1.0,93.0,0.0,16.0,5.01,0.57
27,2022-01-21,3,5.0,-2.9,94.0,0.0,14.1,5.05,0.45
28,2022-01-22,3,6.6,-1.6,97.0,0.0,12.5,4.76,0.45
29,2022-01-23,3,5.9,3.6,96.0,0.0,5.8,1.93,0.3
30,2022-01-24,3,4.9,0.4,95.0,0.0,8.5,2.64,0.34
31,2022-01-25,3,3.1,0.6,96.0,0.0,8.0,2.04,0.3
32,2022-01-26,3,7.9,0.4,96.0,0.0,17.9,4.92,0.58
33,2022-01-27,3,12.0,1.2,95.0,0.0,21.4,2.61,0.52
34,2022-01-28,3,9.3,-0.5,99.0,0.0,21.1,4.23,0.52
35,2022-01-29,51,13.0,3.8,94.0,0.1,38.2,3.97,0.88
36,2022-01-30,51,7.9,-0.7,97.0,0.3,28.7,6.51,0.84
37,2022-01-31,51,8.0,3.3,91.0,0.4,33.9,6.78,1.52
38,2022-02-01,51,13.1,4.5,88.0,0.7,33.4,5.17,1.14
39,2022-02-02,3,11.6,5.8,94.0,0.0,23.9,5.13,0.81
40,2022-02-03,3,10.2,7.1,92.0,0.0,19.5,2.92,0.63
41,2022-02-04,61,9.2,2.7,92.0,3.7,29.8,4.45,0.92
42,2022-02-05,3,10.1,1.3,91.0,0.0,35.8,5.76,1.25
43,2022-02-06,51,10.8,5.6,88.0,4.0,39.2,4.36,1.57
44,2022-02-07,3,10.8,1.2,92.0,0.0,27.2,5.3,1.03
45,2022-02-08,3,12.3,8.9,89.0,0.0,30.1,4.69,1.14
46,2022-02-09,61,12.2,7.4,94.0,3.5,22.8,4.44,0.77
47,2022-02-10,51,8.6,2.4,95.0,0.3,18.4,5.13,0.85
48,2022-02-11,3,7.9,-0.9,94.0,0.0,14.7,7.19,0.85
49,2022-02-12,3,8.1,1.7,91.0,0.0,30.6,7.63,1.18
50,2022-02-13,61,9.6,6.7,91.0,11.4,36.2,2.01,0.74
51,2022-02-14,51,9.6,4.3,93.0,3.3,29.7,6.96,1.03
52,2022-02-15,61,9.7,2.1,93.0,7.1,34.5,1.63,0.43
53,2022-02-16,61,15.7,9.1,93.0,5.4,42.5,4.94,1.41
54,2022-02-17,51,11.1,6.8,78.0,0.4,33.4,7.0,1.81
55,2022-02-18,51,11.4,3.9,89.0,2.3,68.0,6.72,1.83
56,2022-02-19,61,9.0,2.7,91.0,5.2,41.4,3.87,1.24
57,2022-02-20,61,12.2,4.7,90.0,3.0,47.2,1.68,1.18
58,2022-02-21,51,10.4,3.9,88.0,0.3,42.9,6.46,1.9
59,2022-02-22,51,13.6,4.4,89.0,0.5,38.3,4.52,1.16
60,2022-02-23,51,10.5,2.2,97.0,0.1,31.4,6.66,1.12
61,2022-02-24,61,8.4,3.1,89.0,3.6,33.8,7.14,1.44
62,2022-02-25,3,10.4,0.7,90.0,0.0,26.8,10.71,1.68
63,2022-02-26,3,10.1,-0.3,95.0,0.0,22.0,10.68,1.4
64,2022-02-27,3,9.5,1.8,81.0,0.0,20.4,11.94,1.61
65,2022-02-28,61,12.6,5.2,92.0,3.5,26.1,5.82,1.11
66,2022-03-01,61,9.6,6.6,97.0,10.2,21.5,1.72,0.39
67,2022-03-02,51,8.0,4.3,96.0,8.3,16.2,2.87,0.6
68,2022-03-03,51,12.6,5.4,94.0,0.3,15.7,6.43,0.96
69,2022-03-04,51,8.4,5.0,97.0,2.1,14.1,2.15,0.45
70,2022-03-05,51,8.1,4.0,92.0,1.5,33.4,3.88,0.85
71,2022-03-06,51,7.1,2.6,88.0,0.2,28.5,7.92,1.44
72,2022-03-07,3,6.9,1.6,88.0,0.0,26.0,10.53,1.51
73,2022-03-08,3,10.8,0.1,90.0,0.0,20.6,13.38,1.86
74,2022-03-09,51,11.9,6.3,92.0,0.1,27.6,8.44,1.5
75,2022-03-10,3,14.3,7.7,83.0,0.0,21.3,10.36,1.83
76,2022-03-11,61,12.4,8.1,90.0,3.3,29.4,5.65,1.15
77,2022-03-12,51,11.7,6.8,90.0,1.5,29.4,12.03,1.8
78,2022-03-13,51,11.7,4.8,96.0,1.7,23.9,5.91,1.09
79,2022-03-14,51,12.4,2.0,99.0,1.2,16.3,12.02,1.52
80,2022-03-15,3,14.5,3.0,98.0,0.0,11.3,11.49,1.64
81,2022-03-16,61,12.8,5.5,94.0,10.7,20.8,5.11,0.83
82,2022-03-17,3,13.1,1.7,96.0,0.0,20.1,14.16,1.91
83,2022-03-18,3,14.7,2.9,100.0,0.0,18.8,15.17,2.01
84,2022-03-19,3,13.0,6.5,86.0,0.0,28.4,16.24,2.56
85,2022-03-20,51,10.5,2.4,89.0,0.1,20.5,14.05,2.0
